,a,b,c
真实,7,949,0.007376185
600798,65,436,0.149082569
网下,5,640,0.0078125
雄帝,48,301,0.159468439
同泰,48,325,0.147692308
融捷,103,382,0.269633508
泰复,93,337,0.275964392
600316,62,312,0.198717949
6,157,19115,0.008213445
中签,19,2269,0.008373733
海波,73,338,0.215976331
准确,8,948,0.008438819
花王,77,368,0.20923913
成城,70,404,0.173267327
辰欣,49,134,0.365671642
603605,35,105,0.333333333
速递,28,290,0.096551724
本行,21,107,0.196261682
瓷业,14,63,0.222222222
卓越,14,53,0.264150943
原材料,14,78,0.179487179
炭黑,14,46,0.304347826
海川,14,165,0.084848485
建研院,14,135,0.103703704
603183,14,135,0.103703704
航空港,7,29,0.24137931
虞,7,29,0.24137931
保安,7,17,0.411764706
认沽,7,26,0.269230769
泰州市,7,21,0.333333333
解决方案,7,53,0.132075472
翻译,7,30,0.233333333
二零零六年,7,36,0.194444444
仪器设备,7,33,0.212121212
广厦,7,54,0.12962963
兴科,7,49,0.142857143
天线,7,43,0.162790698
质量检查,7,41,0.170731707
养老,7,76,0.092105263
活性炭,7,50,0.14
袁桐,7,26,0.269230769
量,7,20,0.35
技术鉴定,7,30,0.233333333
长沙市,7,63,0.111111111
东亚,7,47,0.14893617
600809,74,274,0.270072993
飞亚,53,260,0.203846154
1,229,26018,0.008801599
合盛,39,162,0.240740741
河北省,32,142,0.225352113
天发,5,568,0.008802817
清源,86,374,0.229946524
成长,18,119,0.151260504
北人,18,122,0.147540984
改变,18,65,0.276923077
文科,101,426,0.237089202
5,147,15910,0.009239472
各方,15,1527,0.009823183
元成,58,336,0.172619048
裤业,58,499,0.116232465
百圆,58,500,0.116
制品,29,186,0.155913978
新宝,6,606,0.00990099
创业板,206,20682,0.009960352
国睿,77,368,0.20923913
橡塑,22,121,0.181818182
缴纳,11,63,0.174603175
巴州,11,42,0.261904762
电光,93,496,0.1875
美罗,82,406,0.201970443
维护,17,1693,0.010041347
铭普光,60,222,0.27027027
603096,30,159,0.188679245
海参,15,225,0.066666667
泰国,15,98,0.153061224
磷酸,15,65,0.230769231
提价,15,57,0.263157895
消除,15,118,0.127118644
十一,15,146,0.102739726
细胞,15,123,0.12195122
朝华,7,668,0.010479042
128,8,749,0.010680908
高陶,19,83,0.228915663
云赛,42,237,0.17721519
广,69,455,0.151648352
怡达,23,151,0.152317881
百隆,6,555,0.010810811
2,190,16604,0.011443026
600126,81,486,0.166666667
603388,54,307,0.175895765
开市,20,1739,0.011500863
稳定,22,1784,0.012331839
坤彩,31,182,0.17032967
稿,30,2291,0.013094718
期满,19,1436,0.013231198
长生,86,371,0.23180593
博济,43,440,0.097727273
金雷,55,456,0.120614035
定价,56,4196,0.013346044
600488,9,663,0.013574661
张铜,32,336,0.095238095
603912,28,115,0.243478261
钻石,16,100,0.16
董秘,16,119,0.134453782
成果,16,92,0.173913043
航投,12,46,0.260869565
娥,8,40,0.2
果汁,8,46,0.173913043
一案,8,36,0.222222222
缝纫机,8,45,0.177777778
有机硅,8,34,0.235294118
钢绳,8,30,0.266666667
联懋,4,14,0.285714286
高密度,4,15,0.266666667
油墨,4,36,0.111111111
市政府,4,17,0.235294118
凯麦,4,16,0.25
铌,4,56,0.071428571
艾能,4,20,0.2
方增持,4,15,0.266666667
谢军,4,18,0.222222222
金泉,4,15,0.266666667
奇虎,4,22,0.181818182
4%,4,20,0.2
入库,4,22,0.181818182
安杰,4,14,0.285714286
张薇,4,11,0.363636364
德盖钼业,4,8,0.5
斯特,4,21,0.19047619
渗沥液,4,11,0.363636364
咸宁,4,18,0.222222222
免疫,4,15,0.266666667
叁,4,18,0.222222222
河源,4,33,0.121212121
虹,4,40,0.1
肉类,4,10,0.4
起草,4,19,0.210526316
财务部,4,14,0.285714286
绿润,4,23,0.173913043
BVI,4,26,0.153846154
4500,4,19,0.210526316
古,4,19,0.210526316
儿童,4,17,0.235294118
山西晋,4,29,0.137931034
朱文,4,12,0.333333333
精细,4,36,0.111111111
福尔,4,30,0.133333333
48%,4,18,0.222222222
产品开发,4,19,0.210526316
鸿城,4,15,0.266666667
第十六届,4,23,0.173913043
茂名市,4,12,0.333333333
吕先,4,18,0.222222222
锫,4,18,0.222222222
预售,4,20,0.2
年全,4,17,0.235294118
小额,4,18,0.222222222
保山,4,17,0.235294118
2.7,4,12,0.333333333
甲艾,4,12,0.333333333
核高基,4,20,0.2
互众,4,17,0.235294118
601086,4,82,0.048780488
国芳,4,97,0.041237113
陈智敏,4,14,0.285714286
聚合,4,26,0.153846154
冠农果,4,19,0.210526316
稽核,4,16,0.25
张春林,4,16,0.25
360,4,32,0.125
赵曙明,4,24,0.166666667
修改版,4,36,0.111111111
资阳,4,8,0.5
五十六,4,12,0.333333333
益友,4,33,0.121212121
盈丰,4,7,0.571428571
童全康,4,7,0.571428571
谱润,4,9,0.444444444
物流配送,4,21,0.19047619
法律文书,4,34,0.117647059
吴琪,4,13,0.307692308
中软,4,13,0.307692308
六安市,4,13,0.307692308
议程,4,24,0.166666667
花卉,4,14,0.285714286
清华大学,4,30,0.133333333
韩灵丽,4,15,0.266666667
影像,4,20,0.2
再融资,4,20,0.2
详细情况,4,14,0.285714286
形,4,20,0.2
酒类,4,25,0.16
商业广场,4,39,0.102564103
交易价格,4,23,0.173913043
李家,4,16,0.25
募资,4,29,0.137931034
活期存款,4,24,0.166666667
请示,4,30,0.133333333
溢鑫,4,10,0.4
云铝,4,28,0.142857143
八月份,4,12,0.333333333
陈宏,4,18,0.222222222
东侧,4,14,0.285714286
芦山县,4,16,0.25
金地,4,16,0.25
罗元清,4,12,0.333333333
技术装备,4,17,0.235294118
服务部,4,21,0.19047619
Minerals,4,9,0.444444444
肃北,4,10,0.4
RIM,4,15,0.266666667
遵义,4,32,0.125
万国,4,28,0.142857143
平板,4,41,0.097560976
天祥,4,19,0.210526316
宇祺,4,20,0.2
100%,375,26018,0.014413099
603007,69,342,0.201754386
珀莱雅,37,119,0.31092437
筹划,225,14507,0.015509754
603040,25,185,0.135135135
路演,41,2537,0.01616082
德利,42,216,0.194444444
面,21,120,0.175
翠微,9,536,0.016791045
天翔,13,747,0.017402945
镇江,17,111,0.153153153
钧,47,233,0.201716738
红宝,11,626,0.017571885
寰,43,232,0.185344828
栋梁,14,767,0.018252934
经常性,35,1746,0.020045819
方向,12,586,0.020477816
申报,58,2713,0.021378548
杰,39,192,0.203125
按揭,26,136,0.191176471
准确性,27,1247,0.021651965
惠,35,146,0.239726027
600076,11,506,0.02173913
普通股,69,3171,0.021759697
新湖,22,120,0.183333333
永,22,140,0.157142857
宝业,22,103,0.213592233
回,53,384,0.138020833
600609,71,497,0.142857143
亨,72,362,0.198895028
蓝丰,18,823,0.021871203
600058,45,460,0.097826087
海际,27,218,0.123853211
转移,18,112,0.160714286
锅炉,18,111,0.162162162
超级,9,43,0.209302326
罗正英,9,33,0.272727273
志强,9,40,0.225
国信证券有限责任公司,9,54,0.166666667
天达,9,61,0.147540984
光纤,9,57,0.157894737
南电,9,222,0.040540541
赤峰市,9,33,0.272727273
高铁,18,819,0.021978022
600143,13,565,0.02300885
600655,21,886,0.023702032
600705,20,836,0.023923445
淮北,23,66,0.348484848
吉纤,23,120,0.191666667
600562,74,378,0.195767196
600647,51,308,0.165584416
600818,56,466,0.120171674
分配利润,14,64,0.21875
评议,14,56,0.25
仪,61,286,0.213286713
冀凯,71,280,0.253571429
华鹏,71,427,0.166276347
宜兴,19,61,0.31147541
完整性,31,1294,0.023956723
600452,72,393,0.183206107
603638,48,138,0.347826087
改革方案,13,537,0.024208566
实业集团,29,263,0.11026616
意向书,139,5734,0.024241367
603260,34,134,0.253731343
首次,1445,58416,0.024736374
尽职,13,521,0.024952015
全新,18,720,0.025
爱仕达,26,1039,0.025024062
603676,35,125,0.28
长缆,15,166,0.090361446
武钢,15,85,0.176470588
安达,15,63,0.238095238
帝,15,52,0.288461538
基因工程,10,93,0.107526882
最新,10,72,0.138888889
另行,10,40,0.25
解放,10,26,0.384615385
庄,10,54,0.185185185
类型,10,73,0.136986301
瑞士,5,24,0.208333333
钟田丽,5,13,0.384615385
车桥,5,23,0.217391304
间隙,5,18,0.277777778
进步,5,22,0.227272727
阿拉尔,5,21,0.238095238
900,5,27,0.185185185
铁合金,5,29,0.172413793
亚金,5,39,0.128205128
华富,5,36,0.138888889
安格,5,20,0.25
氢氧化锂,5,13,0.384615385
谭焕珠,5,16,0.3125
特克斯,5,30,0.166666667
外派,5,27,0.185185185
路线,5,13,0.384615385
区域合作,5,27,0.185185185
虎,5,22,0.227272727
合度,5,19,0.263157895
海域,5,30,0.166666667
李进,5,22,0.227272727
空分,5,26,0.192307692
铁军,5,16,0.3125
审字,5,36,0.138888889
伊犁,5,30,0.166666667
变电站,5,30,0.166666667
蓝微,5,14,0.357142857
中带,5,28,0.178571429
粤财,5,18,0.277777778
光热,5,31,0.161290323
中能,5,15,0.333333333
设定,5,18,0.277777778
钙,5,24,0.208333333
宏泰,5,21,0.238095238
虚假,5,48,0.104166667
出任,5,29,0.172413793
常隆,5,29,0.172413793
另一家,5,18,0.277777778
奉贤,5,20,0.25
黄冈,5,22,0.227272727
邵毅平,5,22,0.227272727
专,5,21,0.238095238
棉纺织,5,23,0.217391304
第十期,5,25,0.2
菲利克斯,5,17,0.294117647
老挝,5,42,0.119047619
资产负债,5,31,0.161290323
中商,5,21,0.238095238
灌溉,5,26,0.192307692
会员,5,21,0.238095238
财务状况,5,19,0.263157895
合作经营,5,30,0.166666667
种猪,5,22,0.227272727
庄行方,5,14,0.357142857
前进,16,635,0.02519685
600980,51,423,0.120567376
600800,67,391,0.171355499
绵,31,200,0.155
600469,13,510,0.025490196
600577,16,627,0.025518341
行为,46,1789,0.025712689
股票价格,57,2175,0.026206897
朗,21,237,0.088607595
天能,21,295,0.071186441
派,21,174,0.120689655
损益,49,1867,0.026245313
新余,53,264,0.200757576
600882,18,681,0.026431718
原水,16,113,0.14159292
船用,16,47,0.340425532
600090,17,641,0.026521061
杭齿,16,602,0.026578073
600653,17,637,0.026687598
铜城,16,588,0.027210884
华泽,25,906,0.027593819
匹凸匹,38,389,0.097686375
锚链,14,507,0.027613412
欧普,60,245,0.244897959
爱,71,390,0.182051282
东盛科技,33,143,0.230769231
玩,11,53,0.20754717
重型机械,11,104,0.105769231
中准,11,48,0.229166667
赢,11,101,0.108910891
新股申购,11,36,0.305555556
601158,14,503,0.027833002
山西汾酒,122,499,0.244488978
奇精,50,250,0.2
600962,56,406,0.137931034
603393,28,228,0.122807018
磁,73,327,0.22324159
600272,45,314,0.143312102
受让方,34,313,0.108626198
唐山陶瓷,17,78,0.217948718
发电厂,17,126,0.134920635
达维尔,40,150,0.266666667
华铁,16,573,0.027923211
601388,69,485,0.142268041
控制技术,23,93,0.247311828
鲁泰,18,639,0.028169014
獐子,19,667,0.028485757
人人乐,22,757,0.029062087
600356,35,366,0.095628415
昌鱼,35,260,0.134615385
偏转,76,368,0.206521739
真实性,49,1686,0.029062871
600843,65,439,0.148063781
天楹,22,755,0.029139073
601021,78,391,0.199488491
603677,48,230,0.208695652
宝实,36,176,0.204545455
聚灿,36,229,0.15720524
特殊钢,18,97,0.18556701
福利,18,102,0.176470588
传票,12,93,0.129032258
棉业,12,71,0.169014085
九泰,6,26,0.230769231
宿州市,6,22,0.272727273
张斌,6,24,0.25
柜台,6,14,0.428571429
银基,6,19,0.315789474
大象,6,26,0.230769231
诗,6,33,0.181818182
购物广场,6,57,0.105263158
评标,6,37,0.162162162
天颐,6,155,0.038709677
土地出让,6,37,0.162162162
华辰,6,44,0.136363636
富海,6,31,0.193548387
南非,6,28,0.214285714
郡,6,32,0.1875
联营,6,34,0.176470588
正确,6,17,0.352941176
真视通,16,544,0.029411765
资产重组,1959,65185,0.030052926
600960,19,624,0.030448718
603021,62,387,0.160206718
600704,23,749,0.03070761
603826,25,168,0.148809524
柏堡,89,433,0.205542725
仙通,45,236,0.190677966
宜昌,25,807,0.030978934
说明书,267,8595,0.031064572
多晶硅,13,79,0.164556962
退,13,57,0.228070175
转型,13,97,0.134020619
伊立浦,66,306,0.215686275
碳,33,188,0.175531915
百科,33,180,0.183333333
天药,29,933,0.031082529
深国商,40,196,0.204081633
淮南,20,100,0.2
冰,20,81,0.24691358
603355,67,351,0.190883191
熙菱,67,273,0.245421245
博创,54,245,0.220408163
传艺,27,242,0.111570248
电影,20,635,0.031496063
603519,41,359,0.114206128
601989,23,720,0.031944444
康跃,17,532,0.031954887
互娱,19,590,0.03220339
黑,56,226,0.247787611
宣亚,21,316,0.066455696
报纸,7,45,0.155555556
六合,7,42,0.166666667
批覆,7,28,0.25
清查,7,40,0.175
炉,7,38,0.184210526
高风险,7,32,0.21875
概述,7,32,0.21875
名臣,7,112,0.0625
综合体,7,43,0.162790698
第十七届,7,53,0.132075472
盈,7,41,0.170731707
新泰,7,52,0.134615385
氯化,7,20,0.35
塔里木,7,48,0.145833333
宣城,7,39,0.179487179
600189,25,775,0.032258065
黑芝麻,26,804,0.032338308
轮船,30,924,0.032467532
过滤,65,443,0.146726862
重,87,427,0.203747073
启迪,40,1229,0.032546786
600247,73,495,0.147474747
601008,73,489,0.149284254
601099,24,720,0.033333333
600052,21,629,0.033386328
600509,30,895,0.033519553
600929,15,80,0.1875
购得,53,265,0.2
600470,53,259,0.204633205
希望,30,892,0.033632287
蒙发,23,140,0.164285714
华锋,23,363,0.063360882
无锡市,31,139,0.223021583
八钢,39,146,0.267123288
闰土,23,676,0.034023669
600864,19,557,0.034111311
远海,26,758,0.034300792
直接,16,127,0.125984252
影城,8,32,0.25
数字化,8,41,0.195121951
储量,8,58,0.137931034
玖,8,26,0.307692308
表面,8,32,0.25
北京东方,8,89,0.08988764
翰林,8,28,0.285714286
基金项目,8,34,0.235294118
区块,8,66,0.121212121
金瑞新,8,50,0.16
胶囊剂,8,22,0.363636364
产业区,8,41,0.195121951
利源,26,755,0.034437086
600212,20,580,0.034482759
公开,2324,67285,0.034539645
继续,678,19434,0.034887311
台,25,179,0.139664804
东光,20,563,0.035523979
立霸,42,399,0.105263158
人民币,128,3591,0.035644667
600614,30,841,0.035671819
海鸟,34,273,0.124542125
双方,17,109,0.155963303
必创,43,177,0.242937853
601872,23,643,0.035769829
600793,18,503,0.035785288
标准,94,2618,0.035905271
维克,52,404,0.128712871
603536,26,152,0.171052632
600096,32,890,0.035955056
天神,29,803,0.03611457
600662,35,325,0.107692308
600654,54,1494,0.036144578
云投,21,580,0.036206897
世龙,45,332,0.135542169
润欣,36,419,0.085918854
资环,36,232,0.155172414
耀,27,172,0.156976744
惠发,27,171,0.157894737
全权,18,96,0.1875
机房,9,47,0.191489362
健特,9,55,0.163636364
牡丹江,9,61,0.147540984
形式,9,57,0.157894737
东大,9,37,0.243243243
603683,9,94,0.095744681
依据,9,306,0.029411765
尾款,9,45,0.2
水利电力,9,49,0.183673469
中石化,9,68,0.132352941
点火,9,38,0.236842105
603729,91,498,0.182730924
601366,37,207,0.178743961
华建,38,372,0.102150538
发起人,19,108,0.175925926
方舟,67,405,0.165432099
603239,39,212,0.183962264
华腾,59,353,0.16713881
云天化,47,1297,0.036237471
600020,21,579,0.03626943
京华,30,125,0.24
603955,30,202,0.148514851
威星,20,245,0.081632653
休闲,10,59,0.169491525
征求意见,10,54,0.185185185
上虞,10,52,0.192307692
大集,10,354,0.028248588
科龙电器,10,87,0.114942529
盘龙,10,144,0.069444444
注资,10,52,0.192307692
文峰,20,551,0.036297641
布局,51,220,0.231818182
潮,34,936,0.036324786
葵花,62,467,0.132762313
华讯,62,390,0.158974359
二零零八年,31,186,0.166666667
府,21,115,0.182608696
600880,21,578,0.03633218
情形,30,824,0.036407767
赛象,28,769,0.036410923
600312,23,629,0.036565978
脉,32,271,0.118081181
鞍重,28,759,0.036890646
600158,43,401,0.10723192
阳新,54,233,0.231759657
思创,55,376,0.146276596
利安隆,55,280,0.196428571
医惠,55,383,0.143603133
603138,33,183,0.180327869
中国建设银行,22,111,0.198198198
603578,11,138,0.079710145
知情,11,81,0.135802469
续贷,11,71,0.154929577
矿产资源,11,80,0.1375
申华,37,1002,0.036926148
600151,27,731,0.036935705
交易日,23,187,0.122994652
力元,23,118,0.194915254
棱光,59,497,0.118712274
探矿权,71,375,0.189333333
珍珠,48,441,0.108843537
京泉华,24,176,0.136363636
盐业,24,143,0.167832168
瀚叶,12,276,0.043478261
汕头,12,91,0.131868132
贡,12,53,0.226415094
十,12,170,0.070588235
向荣盛,12,47,0.255319149
净化,12,56,0.214285714
美芝,12,200,0.06
电话号码,12,57,0.210526316
蚌埠,12,71,0.169014085
附表,36,969,0.037151703
603306,85,430,0.197674419
宏基,35,939,0.037273695
伊力特,87,416,0.209134615
600978,25,664,0.037650602
舜船,31,823,0.037667072
沙钢,30,796,0.037688442
张裕,64,283,0.22614841
丹甫,23,608,0.037828947
活塞,34,895,0.037988827
新朋,31,813,0.038130381
利群,39,227,0.171806167
玉溪,13,101,0.128712871
炭,13,113,0.115044248
仔,13,107,0.121495327
担保费,13,97,0.134020619
鸣志,13,152,0.085526316
对手,13,130,0.1
癀,13,106,0.122641509
锦州港,25,654,0.0382263
赣粤高速,33,857,0.038506418
东方宾馆,81,468,0.173076923
厦,27,193,0.139896373
5000,27,114,0.236842105
吉翔,27,100,0.27
吉鑫,68,498,0.136546185
600163,27,697,0.038737446
乐电,28,106,0.264150943
大幅,28,140,0.2
200,14,74,0.189189189
联营公司,14,81,0.172839506
润邦,44,1133,0.038834951
600490,35,900,0.038888889
600323,21,539,0.038961039
经典,30,179,0.167597765
村镇,15,96,0.15625
洛,15,71,0.211267606
审众,15,157,0.095541401
海泰,26,665,0.039097744
603598,46,453,0.101545254
新莱应材,27,689,0.039187228
蓝焰,31,125,0.248
达到,117,2971,0.03938068
德展,32,198,0.161616162
603385,16,169,0.094674556
鸿翔,16,74,0.216216216
罗牛,16,86,0.186046512
自仪,82,476,0.172268908
长力,33,187,0.176470588
龙蟠,50,212,0.235849057
游轮,31,786,0.039440204
603227,51,398,0.128140704
天工,34,237,0.143459916
穿透,17,109,0.155963303
钢材,17,104,0.163461538
600210,52,446,0.116591928
东热,52,311,0.167202572
600596,70,485,0.144329897
鼎盛,36,248,0.14516129
湖科,36,220,0.163636364
百华悦邦,18,150,0.12
八,18,431,0.041763341
湖南投资,24,606,0.03960396
煌,26,656,0.039634146
太阳鸟,45,1134,0.03968254
上煌,26,654,0.039755352
秦川,41,455,0.09010989
603906,42,188,0.223404255
对价,43,326,0.13190184
华懋,87,469,0.185501066
永益,21,528,0.039772727
600383,109,485,0.224742268
运达,26,651,0.039938556
603607,22,90,0.244444444
601336,67,399,0.167919799
603337,90,334,0.269461078
珠,46,221,0.208144796
基准日,23,93,0.247311828
600389,47,377,0.124668435
永高,28,699,0.040057225
600779,96,354,0.271186441
杰克,97,366,0.265027322
603515,49,216,0.226851852
葛,25,181,0.138121547
择机,25,149,0.167785235
兵器,25,121,0.20661157
字,28,698,0.040114613
600227,33,818,0.040342298
600889,51,392,0.130102041
600221,36,891,0.04040404
峰,52,268,0.194029851
技术开发,26,163,0.159509202
协鑫,23,566,0.040636042
南京港,56,454,0.123348018
了解,28,197,0.14213198
闽,21,516,0.040697674
600252,22,539,0.040816327
建筑工程,30,162,0.185185185
新世界,23,563,0.040852575
大千,31,225,0.137777778
600062,23,562,0.040925267
银高科,49,1196,0.0409699
雄塑,33,208,0.158653846
600289,23,561,0.040998217
海量,35,207,0.169082126
金枫,21,511,0.04109589
600694,78,472,0.165254237
大湖,24,584,0.04109589
中潜,41,414,0.099033816
齐心,49,1190,0.041176471
千里,29,704,0.041193182
金海,51,354,0.144067797
600727,52,357,0.145658263
2006,1711,2,855.5
云商,32,776,0.041237113
东风汽车,33,800,0.04125
日上,35,847,0.041322314
天顺,51,1233,0.04136253
600648,21,506,0.041501976
特别,155,3730,0.04155496
渤海,186,4473,0.04158283
603869,24,577,0.041594454
完备,85,2043,0.041605482
江阴,22,528,0.041666667
600300,22,523,0.04206501
三七,32,758,0.042216359
法定程序,86,2036,0.042239686
外高桥,32,757,0.042272127
实行,24,567,0.042328042
600475,66,498,0.13253012
603866,65,329,0.197568389
金飞达,46,340,0.135294118
桥,43,295,0.145762712
奥博,41,162,0.25308642
卫信康,37,143,0.258741259
铜,30,215,0.139534884
中国工商银行,30,148,0.202702703
提议,27,249,0.108433735
联油,27,143,0.188811189
力诺,27,205,0.131707317
海顺,27,298,0.090604027
资金投入,26,164,0.158536585
控制系统,26,104,0.25
坝,26,194,0.134020619
603559,24,300,0.08
永中,23,188,0.122340426
开设,23,139,0.165467626
平湖,23,154,0.149350649
株式会社,22,162,0.135802469
工新,20,205,0.097560976
撤诉,19,105,0.180952381
震,19,136,0.139705882
惠达,18,185,0.097297297
韩国,17,119,0.142857143
沟,17,78,0.217948718
经营者,16,85,0.188235294
碱,16,68,0.235294118
被动,15,100,0.15
结论,15,86,0.174418605
海建,15,67,0.223880597
学院,14,108,0.12962963
无线,13,85,0.152941176
6000,13,71,0.183098592
越秀,22,519,0.04238921
人数,13,79,0.164556962
公司债务,13,86,0.151162791
603728,12,135,0.088888889
专用汽车,12,58,0.206896552
帐户,12,69,0.173913043
度假,12,65,0.184615385
春风,11,168,0.06547619
赠与,11,99,0.111111111
其所,11,77,0.142857143
西菱,11,113,0.097345133
欠款,11,57,0.192982456
下降,10,61,0.163934426
邵,10,40,0.25
违规行为,10,67,0.149253731
聚酯,9,202,0.044554455
拓展,9,49,0.183673469
配件,9,70,0.128571429
顺德区,9,44,0.204545455
